Taxa,Mother,Father
E2771,PC_I52_ID1,PC_O10_ID1
E2773,PC_L48_ID2,PC_I55_ID2
E2774,PC_K02_ID1,PC_M05_ID1
E2775,PC_L06_ID2,PC_I55_ID2
E2776,PC_L06_ID2,PC_I55_ID2
E2777,PC_I05_ID1,PC_L12_ID1
E2778,PC_O08_ID2,PC_O08_ID2
E2779,PC_O08_ID2,PC_O08_ID2
E2780,PC_L48_ID2,PC_L06_ID2
E2781,PC_I05_ID1,PC_I52_ID1
E2782,PC_J51_ID1,PC_J51_ID1
E2783,PC_O51_ID2,PC_O51_ID2
E2784,PC_I55_ID2,PC_L06_ID2
E2785,PC_N04_ID1,PC_N04_ID1
E2786,PC_N10_ID2,PC_N10_ID2
E2787,PC_N58_ID2,PC_I11_ID2
E2788,PC_L48_ID2,PC_L48_ID2
E2789,PC_J13_ID1,PC_K60_ID1
E2790,PC_J51_ID1,PC_N07_ID1
E2793,PC_I55_ID2,PC_I55_ID2
E2794,PC_O51_ID2,PC_O51_ID2
E2795,PC_K60_ID1,PC_K60_ID1
E2798,PC_O08_ID2,PC_O08_ID2
E2800,PC_J04_ID1,PC_J04_ID1
E2802,PC_M15_ID1,PC_I08_ID1
E2803,PC_L48_ID2,PC_L06_ID2
E2804,PC_I50_ID1,PC_I06_ID1
E2807,PC_N57_ID2,PC_L12_ID2
E2808,PC_J50_ID1,PC_K02_ID1
E2810,PC_K02_ID1,PC_K02_ID1
E2811,PC_K60_ID1,PC_N13_ID1
E2813,PC_N07_ID1,PC_N07_ID1
E2816,PC_K55_ID2,PC_O59_ID2
E2818,PC_I05_ID1,PC_I05_ID1
E2819,PC_N04_ID1,PC_I06_ID1
E2821,PC_O51_ID2,PC_O51_ID2
E2822,PC_M58_ID1,PC_M58_ID1
E2823,PC_J48_ID2,PC_I50_ID2
E2827,PC_L48_ID2,PC_L48_ID2
E2828,PC_L12_ID1,PC_I06_ID1
E2830,PC_N07_ID2,PC_I50_ID2
E2832,PC_J04_ID1,PC_N04_ID1
E2833,PC_L14_ID1,PC_L14_ID1
E2836,PC_N04_ID1,PC_N04_ID1
E2837,PC_L08_ID1,PC_L08_ID1
E2838,PC_O59_ID2,PC_O59_ID2
E2839,PC_J50_ID1,PC_J50_ID1
E2842,PC_O59_ID1,PC_J50_ID1
E2843,PC_N07_ID2,PC_N07_ID2
E2845,PC_K60_ID1,PC_O51_ID1
E2846,PC_L12_ID2,PC_N58_ID2
E2849,PC_M15_ID1,PC_I08_ID1
E2850,PC_K54_ID1,PC_M05_ID1
E2851,PC_L12_ID1,PC_L12_ID1
E2852,PC_I08_ID1,PC_M05_ID1
E2853,PC_K02_ID1,PC_K02_ID1
E2856,PC_L12_ID2,PC_L12_ID2
E2858,PC_I11_ID2,PC_K55_ID2
E2859,PC_O08_ID2,PC_N57_ID2
E2861,PC_N58_ID2,PC_I11_ID2
E2863,PC_N14_ID2,PC_N14_ID2
E2864,PC_I50_ID1,PC_I50_ID1
E2868,PC_M15_ID1,PC_M15_ID1
E2869,PC_O51_ID2,PC_O51_ID2
E2870,PC_N13_ID1,PC_N07_ID1
E2871,PC_L48_ID2,PC_L06_ID2
E2872,PC_N03_ID2,PC_I50_ID2
E2874,PC_J04_ID1,PC_N07_ID1
E2876,PC_O08_ID2,PC_O08_ID2
E2877,PC_L06_ID2,PC_L06_ID2
E2878,PC_J12_ID1,PC_J14_ID1
E2879,PC_K55_ID2,PC_K55_ID2
E2882,PC_N11_ID1,PC_M05_ID1
E2883,PC_L48_ID2,PC_L06_ID2
E2885,PC_I55_ID2,PC_N14_ID2
E2886,PC_L14_ID1,PC_L14_ID1
E2887,PC_I58_ID2,PC_N14_ID2
E2888,PC_L08_ID1,PC_L08_ID1
E2891,PC_I11_ID2,PC_K55_ID2
E2893,PC_K55_ID2,PC_K55_ID2
E2896,PC_N57_ID2,PC_N57_ID2
E2899,PC_K02_ID1,PC_J50_ID1
E2907,PC_N04_ID1,PC_J04_ID1
E2908,PC_J12_ID1,PC_L08_ID1
E2911,PC_J48_ID2,PC_J48_ID2
E2916,PC_N48_ID1,PC_N48_ID1
E2920,PC_L06_ID2,PC_I55_ID2
E2922,PC_N14_ID2,PC_N14_ID2
E2923,PC_N14_ID2,PC_I58_ID2
E2924,PC_L56_ID1,PC_L08_ID1
E2927,PC_J04_ID1,PC_N04_ID1
E2931,PC_J50_ID1,PC_L10_ID1
E2932,PC_N48_ID1,PC_K55_ID1
E2934,PC_N48_ID1,PC_N48_ID1
E2935,PC_I08_ID1,PC_I06_ID1
E2936,PC_L48_ID2,PC_O08_ID2
E2937,PC_J07_ID2,PC_J07_ID2
E2938,PC_I50_ID2,PC_I50_ID2
E2939,PC_O59_ID2,PC_O59_ID2
E2940,PC_J50_ID1,PC_M05_ID1
E2941,PC_L12_ID1,PC_L12_ID1
E2943,PC_N07_ID2,PC_J48_ID2
E2946,PC_I11_ID2,PC_K55_ID2
E2947,PC_O59_ID2,PC_O59_ID2
E2948,PC_M15_ID1,PC_M15_ID1
E2949,PC_K54_ID1,PC_N13_ID1
E2950,PC_I58_ID2,PC_N14_ID2
E2952,PC_J50_ID1,PC_J50_ID1
E2953,PC_I55_ID2,PC_I55_ID2
E2954,PC_N58_ID2,PC_N58_ID2
E2955,PC_N58_ID2,PC_N58_ID2
E2956,PC_N58_ID2,PC_N58_ID2
E2958,PC_N58_ID2,PC_K55_ID2
E2959,PC_I11_ID2,PC_K55_ID2
E2960,PC_N57_ID2,PC_N57_ID2
E2963,PC_J48_ID2,PC_N07_ID2
E2964,PC_K60_ID1,PC_K60_ID1
E2965,PC_L12_ID2,PC_L12_ID2
E2966,PC_J13_ID1,PC_J13_ID1
E2967,PC_N14_ID2,PC_I58_ID2
E2968,PC_I58_ID1,PC_L56_ID1
E2970,PC_L12_ID1,PC_L12_ID1
E2971,PC_L06_ID2,PC_I55_ID2
E2972,PC_N07_ID1,PC_N13_ID1
E2973,PC_N58_ID2,PC_N58_ID2
E2975,PC_N58_ID2,PC_N58_ID2
E2976,PC_I06_ID1,PC_M15_ID1
E2977,PC_O59_ID2,PC_O59_ID2
E2978,PC_K60_ID1,PC_L12_ID1
E2979,PC_N07_ID2,PC_J48_ID2
E2980,PC_J50_ID1,PC_J07_ID1
E2981,PC_N58_ID2,PC_I11_ID2
E2983,PC_L48_ID2,PC_O08_ID2
E2984,PC_I06_ID1,PC_O10_ID1
E2985,PC_J14_ID2,PC_J14_ID2
E2986,PC_J51_ID1,PC_N13_ID1
E2987,PC_L48_ID2,PC_L48_ID2
E2988,PC_I58_ID1,PC_L12_ID1
E2989,PC_I55_ID2,PC_I55_ID2
E2991,PC_I11_ID2,PC_N58_ID2
E2994,PC_N11_ID1,PC_K02_ID1
E2995,PC_N10_ID2,PC_N10_ID2
E2996,PC_K55_ID2,PC_K55_ID2
E2997,PC_L12_ID1,PC_J08_ID1
E2998,PC_J14_ID2,PC_J14_ID2
E3000,PC_I11_ID2,PC_I11_ID2
