proid	parent1	parent2	progeny	parent_1	parent_2	qq_uu	which_mother	nloci
E1091:250278057	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3737	3	3	1460.60771437524	1	9009
E1599:250272036	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3985	3	3	1454.92691221859	1	9088
B3002:250272830	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2852	3	3	1515.08659031182	1	9098
E0592:250283082	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3499	3	3	1520.9860570953	1	9119
A0128:250415769	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	62	3	3	1467.80741023395	1	8994
A5391:250420841	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2643	3	3	1460.60992344965	1	9022
B3437:250273152	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3088	3	3	1468.37454428756	1	9087
E2058:250272335	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	4240	3	3	1484.07854550202	1	9051
E1453:250271924	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3905	3	3	1552.22775792309	1	9153
A2726:250412682	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1442	3	3	1446.57147307263	1	9023
A1712:250416816	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	863	3	3	1482.74146730065	1	9028
A2399:250412467	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1220	3	3	1390.03957526982	1	8995
A2236:250417182	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1136	3	3	1429.75528122762	1	9013
A5833:250441765	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2808	3	3	1482.83804090136	1	9080
A0911:250416306	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	479	3	3	1503.88746816396	1	9017
A4517:250417623	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2305	3	3	1478.2754055138	1	9041
A4468:250417575	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2287	3	3	1507.32594351674	1	9063
A2287:250412417	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1168	3	3	1544.32092416319	1	9077
E0601:250283086	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3505	3	3	1557.9388375462	1	9128
E1975:250272295	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	4197	3	3	1385.50162580408	1	9088
A3316:250413130	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1807	3	3	1457.19095412605	1	9064
E2793:250272677	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	4592	3	3	1451.80677660335	1	9096
A5392:250420842	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2644	3	3	1360.75431252296	1	9011
A0602:250416113	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	318	3	3	1476.49460314057	1	9102
A2667:250442173	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1401	3	3	1498.78481574825	1	9041
A4797:250422953	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	2398	3	3	1555.14439682201	1	9130
A0456:250415994	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	229	3	3	1550.78805144428	1	9094
E0493:250283042	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	3455	3	3	1463.9953686417	1	9090
A0171:250415788	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	82	3	3	1539.13069622691	1	9113
E2989:250272822	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	4708	3	3	1450.4398299876	1	9039
E2114:250272395	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	4272	3	3	1512.27035745058	1	9134
A2088:250417063	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1047	3	3	1460.00889973063	1	9005
A2028:250417017	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1002	3	3	1449.82667121948	1	9065
A1095:250416490	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	601	3	3	1433.25216234702	1	9019
A3514:250413304	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1919	3	3	1535.3979201521	1	9098
A0967:250416372	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	515	3	3	1497.51140454117	1	9072
A0300:250415882	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	145	3	3	1462.68181705129	1	8999
E1745:250310680	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	4057	3	3	1480.60941371866	1	9055
A2799:250412720	PC_I55_ID2_mrg:250276267	PC_I55_ID2_mrg:250276267	1481	3	3	1527.66105179158	1	9098
