kid,nhet,kerr10,kerr12,nmaj,kerr01,kerr02,nmnr,kerr20,kerr21,er0,er1,er2,toter
A1891:250416927,26080,0,0,175211,0,0,6435,0,0,0,0,0,0
E2080:250272348,26080,0,0,175211,0,0,6435,0,0,0,0,0,0
A3122:250413006,26080,0,0.000383435582822086,175211,5.13666379393988e-05,5.70740421548875e-05,6435,0,0,0.000108440680094286,0.000383435582822086,0,0.000139606982274727
E0186:250277664,30151,0,0,181792,5.50079211406443e-05,0,5388,0,0,5.50079211406443e-05,0,0,4.60127639407172e-05
A3462:250413246,26080,0,0,175211,0,0,6435,0,0,0,0,0,0
A0020:250415716,26080,0,0,175211,0,0,6435,0,0,0,0,0,0
A2630:250442142,26080,0,0.000383435582822086,175211,0,5.70740421548875e-05,6435,0,0.0013986013986014,5.70740421548875e-05,0.000383435582822086,0.0013986013986014,0.000139606982274727
E1184:250310571,29485,0.00030523995251823,0.000339155502798033,170740,0,5.85685838116434e-05,5020,0,0,5.85685838116434e-05,0.000644395455316263,0,0.000141294550415357
A5174:250421354,30151,0.000298497562269908,0.000331663958077676,181792,0,5.50079211406443e-05,5388,0,0,5.50079211406443e-05,0.000630161520347584,0,0.00013343701542808
A0112:250415758,26080,0,0.000383435582822086,175211,0,5.70740421548875e-05,6435,0,0,5.70740421548875e-05,0.000383435582822086,0,9.62806774308464e-05
A4865:250422978,26080,0,0.000383435582822086,175211,0,5.70740421548875e-05,6435,0,0,5.70740421548875e-05,0.000383435582822086,0,9.62806774308464e-05
A4974:250423017,30151,0,0,181792,0,0,5388,0,0,0,0,0,0
A4254:250417491,26080,0,0,175211,5.13666379393988e-05,0,6435,0,0,5.13666379393988e-05,0,0,4.33263048438809e-05
B3345:250273068,26080,0,0,175211,0,0,6435,0,0,0,0,0,0
A5849:250441777,30151,0.000298497562269908,0,181792,0,0,5388,0,0,0,0.000298497562269908,0,4.14114875466454e-05
A4078:250417382,29485,0,0.000339155502798033,170740,0,5.85685838116434e-05,5020,0,0,5.85685838116434e-05,0.000339155502798033,0,9.74445175278326e-05
A4339:250417530,26080,0,0,175211,0,0,6435,0,0,0,0,0,0
A0406:250415969,26080,0,0,175211,5.13666379393988e-05,0,6435,0,0.0013986013986014,5.13666379393988e-05,0,0.0013986013986014,8.66526096877618e-05
E2019:250272317,26080,0,0,175211,0,0,6435,0,0,0,0,0,0
A5438:250420865,30151,0,0,181792,0,0,5388,0,0,0,0,0,0
E1368_1:250442015,30151,0.000298497562269908,0.000331663958077676,181792,0,5.50079211406443e-05,5388,0,0,5.50079211406443e-05,0.000630161520347584,0,0.00013343701542808
