kid,nhet,kerr10,kerr12,nmaj,kerr01,kerr02,nmnr,kerr20,kerr21
A3073:250441920,9131,0.367210601248494,0.29109626546928,78528,0.000458435207823961,0.0338477995110024,1193,0.000838222967309304,0
E0874:250284337,6643,0.418034020773747,0.374680114406142,59083,0.000930893827327658,0.0421271770221553,1008,0.000992063492063492,0.00297619047619048
E2229:250284514,10857,0.377083908998803,0.29695127567468,93780,0.000927703134996801,0.0343783322670079,1614,0,0.00123915737298637
A1058:250416433,8083,0.380056909563281,0.297166893480144,70247,0.000412829017609293,0.0341936310447421,1129,0.00177147918511957,0.00177147918511957
E2430:250284105,11235,0.351490876724522,0.261059190031153,95707,0.000846333079085124,0.030645616308107,1701,0,0.00587889476778366
A5988:250441808,7860,0.391603053435114,0.302926208651399,69077,0.000347438365881552,0.0344687812151657,1104,0.00271739130434783,0.000905797101449275
E0582:250284321,11072,0.351427023121387,0.284772398843931,96139,0.000863333298661313,0.0327962637431219,1662,0.000601684717208183,0.000601684717208183
A0691:250416156,8271,0.368395599081127,0.277354612501511,71543,0.000489216275526606,0.032064632458801,1116,0.00537634408602151,0
E2015:250272316,9350,0.380534759358289,0.310160427807487,82962,0.0010968877317326,0.0349557628793906,1293,0.00154679040989946,0.00232018561484919
E0376:250283219,10035,0.35734927752865,0.276233183856502,88709,0.000450912534241171,0.0312482386229131,1390,0,0
A2551:250412582,10059,0.350333035092952,0.273387016602048,87730,0.000695315171549071,0.0313461757665565,1415,0.000706713780918728,0.000706713780918728
A4960:250423013,10339,0.36986168875133,0.277492987716414,90066,0.00321986099082895,0.0318544178713388,1546,0.00258732212160414,0.0148771021992238
A2725:250412681,8600,0.376279069767442,0.306860465116279,75736,0.000488539135945917,0.0348447237773318,1279,0,0.00156372165754496
A0932:250416347,7440,0.370698924731183,0.297983870967742,65129,9.21248598934422e-05,0.0340401357306269,1021,0,0
A5451:250420873,7988,0.372058087130696,0.303329994992489,71143,0.000477910686926331,0.0340581645418383,1078,0.000927643784786642,0.00185528756957328
A4246:250417488,7490,0.388918558077437,0.297463284379172,67238,0.000386686100121955,0.0331360242719891,1074,0,0.000931098696461825
A4240:250417453,7980,0.378446115288221,0.300125313283208,69711,0.000358623459712241,0.0343561274404326,1081,0,0
E1538:250271966,10922,0.337392418970884,0.263321735945797,94976,0.000873904986522911,0.0302813342318059,1552,0.000644329896907216,0.000644329896907216
E2436:250284108,12777,0.316193159583627,0.233779447444627,109520,0.000785244704163623,0.0272735573411249,1947,0.000513610683102209,0.00154083204930663
A1992:250417000,7237,0.382893464142601,0.300538897333149,62648,0.000319244030136636,0.0347177882773592,996,0,0.00100401606425703
A3289:250413109,9906,0.362002826569756,0.281344639612356,85414,0.000526845716158944,0.0326293113541106,1480,0.000675675675675676,0.00202702702702703
E2306:250284041,3546,0.485899605188945,0.415115623237451,32001,0.00371863379269398,0.0459985625449205,509,0.0432220039292731,0.0235756385068762
E0290:250283182,10749,0.34691599218532,0.268583124011536,93681,0.000715193048750547,0.0308173482349676,1497,0.000668002672010688,0.00400801603206413
E2272:250284435,10578,0.358668935526565,0.276328228398563,91046,0.00130703161039475,0.0321046503965029,1471,0.00407885791978246,0.00271923861318831
A5463:250420879,8669,0.372245933787057,0.297612181335794,75865,0.000342714031503328,0.0340077769722533,1276,0.000783699059561128,0
A2383:250412455,9485,0.366262519768055,0.273484449130206,81307,0.000368971921236794,0.0319037721229414,1294,0,0.00309119010819165
E0298:250284307,8984,0.385351736420303,0.319790739091719,78596,0.000699781159346532,0.0365540231055015,1332,0.000750750750750751,0.00225225225225225
