kid,nhet,kerr10,kerr12,nmaj,kerr01,kerr02,nmnr,kerr20,kerr21
14FL990631:250409796,6580,0.385714285714286,0.277507598784195,67215,0.000357063155545637,0.0271665550844306,812,0,0.00123152709359606
14FL991099:250410324,3080,0.418831168831169,0.330194805194805,66575,0.000435598948554262,0.015276004506196,653,0,0
13FL992951:250426808,2815,0.445470692717584,0.325754884547069,61291,0.000473152665154754,0.0149614135843762,627,0.00318979266347687,0.00318979266347687
14FL991429:250410709,6244,0.372998078155029,0.304292120435618,75086,0.000492768292358096,0.025304317715686,730,0,0.00136986301369863
13FL990299:250323701,7802,0.347090489618047,0.270827992822353,79937,0.00525413763338629,0.0264333162365363,989,0.0121334681496461,0.0212335692618807
14FL990002:250407964,8125,0.337107692307692,0.258830769230769,83353,0.000491883915395967,0.0252300457092126,1042,0,0.00287907869481766
13FL992483:250308356,3359,0.402798451920214,0.352188151235487,71797,0.000738192403582322,0.0164770115742998,765,0,0.00392156862745098
14FL992846:250412152,2977,0.404769902586496,0.352704064494458,64375,0.000419417475728155,0.0163106796116505,667,0,0
13FL991003:250307266,3360,0.392559523809524,0.330357142857143,72333,0.000760372167613676,0.0153456928372942,796,0,0
14FL992128:250411435,6055,0.380842279108175,0.321056977704377,63738,0.000658947566600772,0.03049985879695,772,0.00259067357512953,0
14FL992460:250411731,8445,0.32445233866193,0.253404381290705,86520,0.00417244567730005,0.0247341655108645,1146,0.0113438045375218,0.0209424083769634
14FL991145:250410394,5778,0.392869505019038,0.308584285219799,68364,0.000526592943654555,0.0260809782926687,631,0,0
13FL990676:250294973,8893,0.321826155403126,0.248397616102553,90858,0.0020471504985802,0.024312663717009,1171,0.00426985482493595,0.0111016225448335
14FL992688:250411975,6361,0.373997799088194,0.311429020594246,65650,0.000731150038080731,0.0301751713632902,796,0.00376884422110553,0.00251256281407035
13FL991676:250306297,6483,0.383310195896961,0.29029770168132,79461,0.00270572985489737,0.0236845748228691,821,0.00609013398294762,0.0170523751522534
14FL992052:250411345,8027,0.33150616668743,0.272829201445123,82499,0.000690917465666251,0.0265457763124402,1033,0,0
13FL990232:250426655,6379,0.383759209907509,0.307258190939019,64911,0.000801096886506139,0.0301951903375391,829,0.00120627261761158,0.00844390832328106
13FL992874:250308960,3818,0.394971189104243,0.314562598218963,78506,0.000726059154714289,0.0152981937686291,846,0,0.00118203309692671
13FL992700:250308777,3876,0.379772961816305,0.301341589267286,80636,0.000731683119202341,0.0144848454784464,883,0.00113250283125708,0.00113250283125708
14FL991944:250411223,3737,0.397645169922398,0.287663901525288,80126,0.000449292364525872,0.0134163692184809,868,0,0.00230414746543779
14FL990543:250409690,6429,0.368797635713175,0.299580027998133,65863,0.000197379408772756,0.0292425185612559,807,0,0.00123915737298637
14FL990941:250410151,6777,0.389995573262506,0.303231518370961,69844,0.000558387263043354,0.0294227134757459,839,0,0.00119189511323004
13FL991535:250306138,6129,0.400228422254854,0.295969978789362,73189,0.000628509748732733,0.0247851453087213,744,0,0.00268817204301075
13FL992088:MERGE,9042,0.313094448130945,0.227715107277151,92302,0.00212346428029729,0.0223072089445516,1161,0.00516795865633075,0.0111972437553833
14FL992235:250411539,5292,0.413643235071807,0.314436885865457,55965,0.000285892968819798,0.029732868757259,687,0,0.00145560407569141
14FL992620:250411913,7137,0.365419644108169,0.285133809723974,73081,0.000492604096824072,0.0278458149176941,892,0,0.00112107623318386
13FL992372:250308221,6882,0.366608544027899,0.308631211857018,71310,0.000883466554480438,0.029785443836769,838,0,0.00119331742243437
13FL992104:MERGE,4333,0.357489037618278,0.278559889222248,90597,0.00175502500082784,0.0133227369559698,1029,0.00194363459669582,0.00485908649173955
13FL991339:250308559,7115,0.373436401967674,0.30049191848208,73055,0.000547532680856889,0.0292656217918007,912,0,0.00109649122807018
14FL991062:250410288,6146,0.369345916042955,0.302310445818418,72005,0.000388861884591348,0.0258037636275259,695,0,0
13FL990246:250323650,3249,0.420437057556171,0.321637426900585,70293,0.000597499039733686,0.0148663451552786,713,0,0.00280504908835905
13FL990135:250294349,7065,0.388393489030432,0.301769285208776,72090,0.002066860868359,0.0295741434318213,870,0.00229885057471264,0.0149425287356322
