file,het,err,chunk,rate,type,size
largedata/sim2//size6_rate0.5_1k.csv,184,69,4,0.375,rate0.5,6
largedata/sim2//size6_rate1_1k.csv,184,54,10,0.293478260869565,rate1,6
largedata/sim2//size70_rate0.5_1k.csv,184,0,1,0,rate0.5,70
largedata/sim2//size70_rate1_1k.csv,184,0,1,0,rate1,70
largedata/sim2//size71_rate0.5_1k.csv,184,44,1,0.239130434782609,rate0.5,71
largedata/sim2//size71_rate1_1k.csv,184,34,1,0.184782608695652,rate1,71
largedata/sim2//size72_rate0.5_1k.csv,184,34,1,0.184782608695652,rate0.5,72
largedata/sim2//size72_rate1_1k.csv,184,0,1,0,rate1,72
largedata/sim2//size73_rate0.5_1k.csv,184,1,1,0.00543478260869565,rate0.5,73
largedata/sim2//size73_rate1_1k.csv,184,0,1,0,rate1,73
largedata/sim2//size74_rate0.5_1k.csv,184,0,1,0,rate0.5,74
largedata/sim2//size74_rate1_1k.csv,184,0,1,0,rate1,74
largedata/sim2//size75_rate0.5_1k.csv,184,34,1,0.184782608695652,rate0.5,75
largedata/sim2//size75_rate1_1k.csv,184,0,1,0,rate1,75
largedata/sim2//size76_rate0.5_1k.csv,184,0,1,0,rate0.5,76
largedata/sim2//size76_rate1_1k.csv,184,0,1,0,rate1,76
largedata/sim2//size77_rate0.5_1k.csv,184,80,1,0.434782608695652,rate0.5,77
largedata/sim2//size77_rate1_1k.csv,184,0,1,0,rate1,77
largedata/sim2//size78_rate0.5_1k.csv,184,44,1,0.239130434782609,rate0.5,78
largedata/sim2//size78_rate1_1k.csv,184,0,1,0,rate1,78
largedata/sim2//size79_rate0.5_1k.csv,184,0,1,0,rate0.5,79
largedata/sim2//size79_rate1_1k.csv,184,0,1,0,rate1,79
largedata/sim2//size7_rate0_1k.csv,184,68,5,0.369565217391304,rate0,7
largedata/sim2//size7_rate0.5_1k.csv,184,41,9,0.222826086956522,rate0.5,7
largedata/sim2//size7_rate1_1k.csv,184,27,7,0.146739130434783,rate1,7
largedata/sim2//size80_rate0.5_1k.csv,184,0,1,0,rate0.5,80
largedata/sim2//size80_rate1_1k.csv,184,0,1,0,rate1,80
largedata/sim2//size81_rate0.5_1k.csv,184,34,1,0.184782608695652,rate0.5,81
largedata/sim2//size81_rate1_1k.csv,184,0,2,0,rate1,81
largedata/sim2//size82_rate0.5_1k.csv,184,0,1,0,rate0.5,82
largedata/sim2//size82_rate1_1k.csv,184,0,1,0,rate1,82
largedata/sim2//size83_rate0.5_1k.csv,184,0,1,0,rate0.5,83
largedata/sim2//size83_rate1_1k.csv,184,0,1,0,rate1,83
largedata/sim2//size84_rate0.5_1k.csv,184,10,1,0.0543478260869565,rate0.5,84
largedata/sim2//size84_rate1_1k.csv,184,0,1,0,rate1,84
largedata/sim2//size85_rate0.5_1k.csv,184,0,1,0,rate0.5,85
largedata/sim2//size85_rate1_1k.csv,184,0,1,0,rate1,85
largedata/sim2//size86_rate0.5_1k.csv,184,0,1,0,rate0.5,86
largedata/sim2//size86_rate1_1k.csv,184,0,1,0,rate1,86
largedata/sim2//size87_rate0.5_1k.csv,184,0,1,0,rate0.5,87
largedata/sim2//size87_rate1_1k.csv,184,0,1,0,rate1,87
largedata/sim2//size88_rate0.5_1k.csv,184,0,1,0,rate0.5,88
largedata/sim2//size88_rate1_1k.csv,184,0,1,0,rate1,88
largedata/sim2//size89_rate0.5_1k.csv,184,0,1,0,rate0.5,89
largedata/sim2//size89_rate1_1k.csv,184,0,2,0,rate1,89
largedata/sim2//size8_rate0_1k.csv,184,56,4,0.304347826086957,rate0,8
largedata/sim2//size8_rate0.5_1k.csv,184,70,2,0.380434782608696,rate0.5,8
largedata/sim2//size8_rate1_1k.csv,184,2,3,0.0108695652173913,rate1,8
largedata/sim2//size90_rate0.5_1k.csv,184,0,1,0,rate0.5,90
largedata/sim2//size90_rate1_1k.csv,184,0,1,0,rate1,90
largedata/sim2//size91_rate0.5_1k.csv,184,60,1,0.326086956521739,rate0.5,91
largedata/sim2//size91_rate1_1k.csv,184,0,1,0,rate1,91
largedata/sim2//size92_rate0.5_1k.csv,184,10,1,0.0543478260869565,rate0.5,92
largedata/sim2//size92_rate1_1k.csv,184,0,2,0,rate1,92
largedata/sim2//size93_rate0.5_1k.csv,184,34,1,0.184782608695652,rate0.5,93
largedata/sim2//size93_rate1_1k.csv,184,0,1,0,rate1,93
largedata/sim2//size94_rate0.5_1k.csv,184,40,1,0.217391304347826,rate0.5,94
largedata/sim2//size94_rate1_1k.csv,184,20,2,0.108695652173913,rate1,94
largedata/sim2//size95_rate0.5_1k.csv,184,40,1,0.217391304347826,rate0.5,95
largedata/sim2//size95_rate1_1k.csv,184,0,1,0,rate1,95
largedata/sim2//size96_rate0.5_1k.csv,184,0,1,0,rate0.5,96
largedata/sim2//size96_rate1_1k.csv,184,0,1,0,rate1,96
largedata/sim2//size97_rate0.5_1k.csv,184,80,1,0.434782608695652,rate0.5,97
largedata/sim2//size97_rate1_1k.csv,184,0,1,0,rate1,97
largedata/sim2//size98_rate0.5_1k.csv,184,20,1,0.108695652173913,rate0.5,98
largedata/sim2//size98_rate1_1k.csv,184,0,1,0,rate1,98
largedata/sim2//size99_rate0.5_1k.csv,184,10,1,0.0543478260869565,rate0.5,99
largedata/sim2//size99_rate1_1k.csv,184,0,1,0,rate1,99
largedata/sim2//size9_rate0_1k.csv,184,43,5,0.233695652173913,rate0,9
largedata/sim2//size9_rate0.5_1k.csv,184,29,2,0.157608695652174,rate0.5,9
largedata/sim2//size9_rate1_1k.csv,184,14,7,0.0760869565217391,rate1,9
